time_s,ax,ay,az,gx,gy,gz,current,voltage,power,label
0.002,1928.0,-1360.0,20068.0,-612.0,794.0,-102.0,0.212,12.28,2.61,defect
0.004,560.0,-776.0,24388.0,-457.0,388.0,-230.0,0.371,12.35,4.59,defect
0.01,1144.0,-560.0,20896.0,-175.0,257.0,-191.0,0.461,12.38,5.7,defect
0.012,2740.0,116.0,18924.0,-474.0,859.0,-1.0,0.404,12.34,4.98,defect
0.014,13376.0,32.0,15136.0,-451.0,2488.0,141.0,0.187,12.25,2.88,defect
0.017,-524.0,-2960.0,24240.0,-259.0,4.0,-281.0,0.116,12.22,1.42,defect
0.019,-1480.0,580.0,22052.0,-295.0,-148.0,-32.0,0.127,12.23,1.55,defect
0.021,2256.0,752.0,18460.0,-442.0,195.0,-184.0,0.26,12.32,3.21,defect
0.023,2180.0,-248.0,20412.0,-405.0,393.0,-33.0,0.398,12.36,4.92,defect
0.024,-6188.0,-2156.0,24284.0,-277.0,-790.0,-280.0,0.476,12.38,5.89,defect
0.026,1844.0,-228.0,21344.0,-216.0,91.0,-81.0,0.295,12.31,3.62,defect
0.031,1368.0,-1396.0,20604.0,-456.0,317.0,34.0,0.166,12.24,2.03,defect
0.034,-304.0,-1572.0,23200.0,-157.0,366.0,-133.0,0.112,12.22,1.37,defect
0.038,3792.0,-420.0,19836.0,-299.0,806.0,-72.0,0.147,12.24,1.8,defect
0.039,1440.0,-204.0,22544.0,-259.0,384.0,52.0,0.29,12.31,3.58,defect
0.041,4596.0,-140.0,16916.0,-93.0,550.0,193.0,0.403,12.37,4.98,defect
0.043,3308.0,-284.0,18812.0,-440.0,705.0,55.0,0.455,12.36,5.62,defect
0.045,1916.0,-568.0,20460.0,-295.0,453.0,-48.0,0.322,12.32,3.95,defect
0.048,540.0,1376.0,20108.0,-419.0,35.0,-132.0,0.184,12.23,2.24,defect
0.156,-548.0,-224.0,21904.0,-208.0,35.0,-86.0,0.11,12.22,1.35,defect
0.264,1188.0,-1028.0,21660.0,-184.0,351.0,-26.0,0.157,12.25,1.92,defect
0.372,2232.0,336.0,19572.0,-579.0,227.0,-6.0,0.382,12.35,3.97,defect
0.48,3832.0,-1236.0,20752.0,-387.0,588.0,27.0,0.46,12.38,5.7,defect
0.589,1204.0,-2220.0,22228.0,-496.0,841.0,-213.0,0.46,12.36,5.68,defect
0.696,644.0,128.0,22756.0,-668.0,411.0,-94.0,0.234,12.26,2.87,defect
0.805,1124.0,-1660.0,21436.0,-170.0,155.0,-103.0,0.134,12.22,1.63,defect
0.913,180.0,-1460.0,20908.0,-59.0,-132.0,-116.0,0.115,12.22,1.4,defect
1.021,2956.0,-1596.0,19272.0,-229.0,-16.0,-143.0,0.236,12.3,2.9,defect
1.128,-936.0,588.0,20920.0,-464.0,19.0,-2.0,0.396,12.36,4.9,defect
1.237,-3924.0,-3612.0,25884.0,-25.0,-81.0,-620.0,0.452,12.38,5.59,defect
1.345,1324.0,916.0,19684.0,-502.0,-101.0,82.0,0.35,12.33,4.3,defect
1.453,252.0,-4.0,21100.0,-277.0,-234.0,-125.0,0.201,12.25,2.46,defect
1.56,-2316.0,-1508.0,22532.0,-215.0,-444.0,-242.0,0.116,12.22,1.42,defect
1.67,4244.0,312.0,18128.0,-453.0,840.0,53.0,0.185,12.27,2.28,defect
1.778,692.0,-304.0,19568.0,-244.0,107.0,71.0,0.347,12.34,4.3,defect
1.886,-2528.0,-340.0,22316.0,-98.0,-540.0,-283.0,0.441,12.37,5.45,defect
1.994,832.0,-416.0,22460.0,-277.0,455.0,-41.0,0.442,12.36,5.46,defect
2.102,280.0,-244.0,21220.0,-428.0,542.0,-78.0,0.277,12.3,3.4,defect
2.21,2176.0,-1120.0,20396.0,-174.0,385.0,-82.0,0.129,12.22,1.97,defect
2.318,496.0,-4.0,20988.0,-357.0,-5.0,-190.0,0.115,12.22,1.41,defect
2.426,5432.0,-736.0,15584.0,-381.0,1254.0,60.0,0.163,12.25,2.0,defect
2.535,2188.0,-1164.0,20640.0,-359.0,217.0,-143.0,0.362,12.35,4.47,defect
2.643,2512.0,-684.0,19464.0,-325.0,473.0,-64.0,0.426,12.38,5.28,defect
2.751,-1140.0,188.0,23336.0,-500.0,279.0,-164.0,0.461,12.37,5.7,defect
2.859,-1080.0,348.0,22904.0,-293.0,-94.0,-57.0,0.285,12.3,3.5,defect
2.967,824.0,-556.0,22312.0,-457.0,194.0,-15.0,0.164,12.24,2.0,defect
3.075,-6652.0,304.0,24564.0,-573.0,-875.0,-159.0,0.112,12.22,1.36,defect
3.183,-1156.0,348.0,23064.0,-280.0,85.0,-169.0,0.156,12.25,1.91,defect
3.291,3048.0,-828.0,19392.0,-184.0,789.0,-2.0,0.322,12.32,3.98,defect
3.399,-8064.0,-1860.0,26752.0,-90.0,-1488.0,-37.0,0.425,12.38,5.27,defect
