time_s,ax,ay,az,gx,gy,gz,current,voltage,power,label
0.001,-1512.0,-560.0,22376.0,-509.0,-176.0,31.0,0.199,12.27,2.44,normal
0.004,-1796.0,48.0,23300.0,-338.0,-260.0,15.0,0.16,12.24,1.96,normal
0.007,2672.0,-144.0,20056.0,-428.0,132.0,-16.0,0.128,12.24,1.57,normal
0.009,432.0,-2336.0,23560.0,-225.0,269.0,-11.0,0.141,12.25,1.73,normal
0.01,3948.0,-488.0,18560.0,-300.0,932.0,-36.0,0.172,12.27,2.12,normal
0.013,-1404.0,-2184.0,22680.0,-247.0,-155.0,-65.0,0.249,12.32,3.08,normal
0.015,5036.0,372.0,18508.0,-175.0,919.0,-119.0,0.358,12.36,4.43,normal
0.016,5280.0,416.0,18360.0,-213.0,1108.0,22.0,0.397,12.36,4.9,normal
0.017,4608.0,1956.0,16464.0,-447.0,165.0,149.0,0.395,12.37,4.89,normal
0.019,1108.0,272.0,21152.0,-385.0,506.0,-75.0,0.405,12.35,4.99,normal
0.02,-2108.0,-1612.0,25712.0,-487.0,-298.0,-8.0,0.352,12.33,4.33,normal
0.024,-1180.0,-68.0,22276.0,-531.0,-103.0,-96.0,0.267,12.29,3.28,normal
0.028,1364.0,172.0,20328.0,-205.0,183.0,-55.0,0.159,12.25,2.34,normal
0.03,904.0,844.0,21308.0,-723.0,391.0,-102.0,0.128,12.23,1.56,normal
0.031,2336.0,-28.0,18192.0,-566.0,-113.0,-103.0,0.124,12.24,1.52,normal
0.032,6932.0,1736.0,21048.0,-629.0,996.0,169.0,0.151,12.27,1.85,normal
0.034,120.0,-1084.0,20888.0,-414.0,-124.0,-241.0,0.267,12.32,3.29,normal
0.035,-948.0,-1980.0,19864.0,-127.0,294.0,-43.0,0.346,12.35,4.27,normal
0.036,2128.0,-948.0,21468.0,-215.0,318.0,77.0,0.366,12.37,4.52,normal
0.128,1984.0,684.0,20560.0,-470.0,483.0,133.0,0.424,12.36,5.23,normal
0.234,736.0,-908.0,22080.0,-184.0,625.0,-149.0,0.398,12.34,4.91,normal
0.343,1640.0,-988.0,21572.0,-91.0,366.0,-316.0,0.335,12.32,4.11,normal
0.451,2172.0,-964.0,20972.0,-177.0,740.0,-80.0,0.196,12.26,2.4,normal
0.559,3044.0,704.0,18828.0,-248.0,431.0,-108.0,0.146,12.24,1.78,normal
0.666,668.0,892.0,22856.0,-122.0,286.0,-10.0,0.125,12.24,1.53,normal
0.775,132.0,-712.0,22856.0,-261.0,153.0,-38.0,0.153,12.26,1.5,normal
0.884,5844.0,-844.0,18744.0,-354.0,1008.0,-80.0,0.215,12.29,2.64,normal
0.991,1472.0,-524.0,20204.0,-274.0,273.0,11.0,0.289,12.33,3.57,normal
1.099,1616.0,-908.0,19708.0,-62.0,545.0,-91.0,0.357,12.36,4.42,normal
1.207,1588.0,188.0,21176.0,-309.0,588.0,-101.0,0.415,12.37,5.13,normal
1.316,2712.0,1820.0,19520.0,-543.0,905.0,91.0,0.421,12.36,5.2,normal
1.424,2152.0,696.0,22296.0,-483.0,221.0,-98.0,0.397,12.34,4.89,normal
1.531,-2864.0,-484.0,23360.0,-379.0,-510.0,-165.0,0.267,12.3,3.28,normal
1.64,-664.0,244.0,22632.0,-106.0,-360.0,-52.0,0.195,12.27,2.39,normal
1.748,2880.0,1236.0,18956.0,-321.0,96.0,21.0,0.141,12.24,1.73,normal
1.856,-1424.0,192.0,21716.0,-418.0,95.0,-133.0,0.126,12.24,1.54,normal
1.963,-328.0,-748.0,22160.0,-297.0,-87.0,-68.0,0.155,12.26,1.9,normal
2.072,-116.0,256.0,22288.0,-325.0,160.0,-219.0,0.209,12.3,2.58,normal
2.18,-672.0,152.0,22508.0,-357.0,241.0,-65.0,0.4,12.35,3.81,normal
2.288,-2744.0,-876.0,23232.0,-409.0,-168.0,-132.0,0.394,12.37,4.87,normal
