window_start,anomaly_score,pred_label
0,0.8031047,1
25,0.7501133,1
50,0.8068729,1
75,0.8729315,1
100,0.8875607,1
125,0.8525849,1
150,0.77193135,1
175,0.7702548,1
200,0.8329793,1
225,0.8318603,1
250,0.7999065,1
275,0.7768891,1
300,0.75420433,1
325,0.83463764,1
350,0.7424884,1
375,0.76530564,1
400,0.8085709,1
425,0.80104446,1
450,0.76806873,1
475,0.6630684,1
500,0.7798959,1
525,0.8062212,1
550,0.8206751,1
575,0.8360491,1
600,0.793535,1
625,0.7666029,1
650,0.7570219,1
675,0.7955132,1
700,0.7944212,1
725,0.7691093,1
750,0.8062897,1
775,0.7712075,1
800,0.7528193,1
825,0.7492269,1
850,0.7240415,1
875,0.78064406,1
900,0.83726066,1
925,0.8000275,1
950,0.7791881,1
975,0.76269305,1
1000,0.80047923,1
1025,0.8381759,1
1050,0.78901327,1
1075,0.7958957,1
