time_s,ax,ay,az,gx,gy,gz,current,voltage,power
300.067,412.0,-1028.0,21032.0,-171.0,-4.0,85.0,0.193,11.39,2.19
300.174,2184.0,-148.0,20896.0,-338.0,299.0,-52.0,0.124,11.29,1.4
300.283,3328.0,-684.0,19700.0,-344.0,721.0,194.0,0.087,11.17,0.89
300.391,5692.0,7336.0,18496.0,-484.0,-1094.0,-934.0,0.131,11.27,1.48
300.499,2688.0,-560.0,20400.0,-352.0,548.0,45.0,0.208,11.4,2.37
300.606,380.0,1068.0,22080.0,-615.0,79.0,-535.0,0.16,11.32,1.81
300.715,-1148.0,-7060.0,27024.0,-45.0,754.0,-212.0,0.081,11.18,0.91
300.822,1932.0,-184.0,21648.0,-305.0,191.0,-50.0,0.106,11.2,1.19
300.932,6532.0,1344.0,16420.0,-96.0,750.0,1098.0,0.196,11.38,2.23
301.04,1804.0,-1996.0,21216.0,-134.0,529.0,166.0,0.192,11.37,2.18
301.148,1624.0,568.0,20384.0,-272.0,490.0,-322.0,0.091,11.22,1.2
301.256,2860.0,-44.0,19884.0,-320.0,624.0,-36.0,0.093,11.18,1.04
301.364,1512.0,516.0,19968.0,-379.0,63.0,26.0,0.145,11.29,1.64
301.472,-988.0,-1292.0,23332.0,-449.0,37.0,-553.0,0.205,11.39,2.33
301.58,756.0,-532.0,21724.0,-329.0,71.0,-118.0,0.148,11.32,1.67
301.688,1448.0,-1288.0,21748.0,-431.0,473.0,-225.0,0.08,11.18,0.89
301.796,848.0,-1528.0,22084.0,-227.0,261.0,77.0,0.116,11.24,1.3
301.903,1336.0,564.0,21448.0,-360.0,87.0,147.0,0.193,11.38,2.2
302.012,2084.0,-796.0,21056.0,-458.0,439.0,-71.0,0.18,11.36,2.22
302.12,-20.0,-172.0,21316.0,-236.0,-181.0,127.0,0.092,11.23,1.03
302.228,960.0,-220.0,21408.0,-371.0,344.0,-149.0,0.091,11.18,1.02
302.336,2528.0,-4.0,20392.0,-418.0,503.0,-46.0,0.174,11.34,1.98
302.445,-1480.0,588.0,23376.0,-587.0,-333.0,-192.0,0.197,11.39,2.24
302.552,1660.0,-796.0,20820.0,-230.0,325.0,-44.0,0.133,11.3,1.5
302.66,1960.0,276.0,20612.0,-393.0,520.0,-65.0,0.084,11.17,0.94
302.769,1180.0,-928.0,21456.0,-211.0,376.0,-118.0,0.127,11.26,1.44
302.876,1380.0,-1164.0,20688.0,-278.0,226.0,59.0,0.205,11.4,2.28
302.985,-840.0,-1992.0,23188.0,-336.0,67.0,-226.0,0.164,11.34,1.85
303.092,852.0,-616.0,21560.0,-436.0,200.0,9.0,0.085,11.19,0.95
303.201,1392.0,-1612.0,20736.0,-297.0,369.0,-1.0,0.11,11.22,1.24
303.309,1664.0,-264.0,20720.0,-449.0,307.0,-86.0,0.188,11.38,2.15
303.417,428.0,-1168.0,21764.0,-281.0,140.0,-215.0,0.193,11.38,2.2
303.525,288.0,332.0,21536.0,-485.0,-164.0,-2.0,0.098,11.24,1.1
303.632,208.0,-1844.0,22548.0,-286.0,161.0,-252.0,0.088,11.17,0.98
