time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.002,228.0,-372.0,20220.0,-275.0,531.0,64.0,0.196,11.28,2.03
0.019,1984.0,-388.0,22220.0,-375.0,238.0,-312.0,0.188,11.27,2.12
0.028,-2852.0,-1704.0,24512.0,-630.0,-262.0,-56.0,0.169,11.25,1.9
0.032,1804.0,-1176.0,21852.0,-187.0,333.0,-95.0,0.082,11.1,0.91
0.037,576.0,-884.0,22428.0,-227.0,40.0,-164.0,0.094,11.11,1.05
0.039,1616.0,1036.0,21832.0,-241.0,255.0,-147.0,0.137,11.23,1.54
0.041,84.0,-1980.0,22004.0,-78.0,189.0,-314.0,0.193,11.29,2.18
0.042,3332.0,-608.0,18780.0,-101.0,565.0,-94.0,0.133,11.2,1.49
0.043,2492.0,24.0,20904.0,-358.0,671.0,-35.0,0.076,11.08,0.84
0.046,2460.0,1620.0,19584.0,-318.0,304.0,158.0,0.129,11.15,1.45
0.047,-2844.0,-676.0,25668.0,187.0,487.0,-521.0,0.198,11.29,2.23
0.051,6492.0,-1064.0,17996.0,-300.0,1504.0,285.0,0.159,11.23,1.89
0.056,1720.0,-1120.0,20552.0,-76.0,330.0,39.0,0.079,11.11,0.87
0.057,-160.0,-1604.0,21944.0,-243.0,203.0,-161.0,0.097,11.12,1.08
0.059,540.0,1080.0,20764.0,-334.0,115.0,-564.0,0.18,11.28,2.03
0.06,1168.0,-1032.0,21652.0,80.0,235.0,-243.0,0.187,11.27,2.1
0.062,3400.0,-2284.0,20212.0,-171.0,774.0,-72.0,0.111,11.17,1.23
0.063,3168.0,-800.0,20444.0,-285.0,566.0,65.0,0.087,11.09,0.97
0.064,1044.0,-36.0,21888.0,-633.0,278.0,41.0,0.138,11.19,1.55
0.066,736.0,-160.0,21540.0,-388.0,-53.0,-18.0,0.194,11.3,2.19
0.149,1680.0,900.0,20524.0,-251.0,143.0,204.0,0.141,11.22,1.58
0.257,1004.0,-1060.0,21248.0,-42.0,165.0,-212.0,0.077,11.1,0.85
0.365,-5268.0,-508.0,27972.0,-332.0,-1041.0,-565.0,0.116,11.14,1.2
0.473,6976.0,-372.0,15952.0,-289.0,778.0,392.0,0.184,11.28,2.08
0.581,1392.0,-368.0,20100.0,-409.0,174.0,-2.0,0.184,11.28,2.08
0.688,2940.0,48.0,20460.0,-461.0,587.0,-103.0,0.097,11.15,1.08
0.797,1308.0,688.0,21428.0,-338.0,4.0,-89.0,0.082,11.09,0.91
0.904,-16.0,1492.0,22056.0,-526.0,-183.0,-199.0,0.117,11.19,1.31
1.013,3108.0,-132.0,19420.0,-105.0,749.0,-135.0,0.193,11.3,2.18
1.121,-1056.0,-756.0,23060.0,7.0,-478.0,-150.0,0.158,11.23,1.77
1.229,1784.0,-824.0,22108.0,-214.0,365.0,-287.0,0.082,11.09,0.9
1.337,-1088.0,-1972.0,23988.0,-674.0,263.0,88.0,0.105,11.12,1.17
1.445,1592.0,180.0,20892.0,-251.0,363.0,-48.0,0.172,11.25,1.94
1.553,492.0,-996.0,21888.0,-290.0,239.0,-288.0,0.178,11.27,2.01
1.662,424.0,-1612.0,21616.0,-32.0,-252.0,-191.0,0.105,11.2,1.17
1.77,1184.0,-832.0,22708.0,-470.0,643.0,-459.0,0.077,11.09,0.85
1.877,2276.0,-1716.0,20076.0,53.0,3.0,131.0,0.127,11.17,1.42
1.986,3184.0,1392.0,18652.0,-287.0,391.0,-151.0,0.194,11.3,2.2
2.094,-548.0,-1080.0,22108.0,-364.0,73.0,-250.0,0.177,11.26,1.99
2.202,-16.0,-2972.0,22372.0,41.0,127.0,-397.0,0.084,11.1,0.93
2.31,-408.0,-140.0,21296.0,-563.0,-334.0,149.0,0.095,11.1,1.06
2.418,1996.0,296.0,20068.0,-293.0,325.0,66.0,0.174,11.27,1.72
2.526,-72.0,-1960.0,23036.0,-12.0,261.0,-311.0,0.19,11.28,2.14
2.635,1192.0,-736.0,21656.0,65.0,167.0,-143.0,0.133,11.22,1.49
2.742,3220.0,1084.0,19276.0,-334.0,365.0,439.0,0.076,11.09,0.84
2.85,804.0,-1120.0,20840.0,-504.0,129.0,163.0,0.114,11.13,1.28
2.958,960.0,-64.0,21288.0,-307.0,85.0,-21.0,0.185,11.27,2.09
3.066,2300.0,652.0,21020.0,-493.0,451.0,147.0,0.176,11.26,1.98
3.174,1628.0,-1132.0,21392.0,-283.0,554.0,-44.0,0.1,11.18,1.11
3.282,1576.0,-544.0,21356.0,-91.0,604.0,-103.0,0.08,11.08,0.89
3.39,368.0,-1508.0,21600.0,-48.0,74.0,80.0,0.134,11.2,1.51
3.499,2416.0,348.0,20396.0,-104.0,872.0,-188.0,0.198,11.3,2.23
3.607,1692.0,-976.0,22068.0,-356.0,574.0,32.0,0.144,11.21,1.81
3.714,464.0,156.0,23080.0,-540.0,154.0,-230.0,0.077,11.09,0.86
3.822,1096.0,80.0,20444.0,-299.0,12.0,73.0,0.104,11.1,1.16
3.931,2312.0,-816.0,20712.0,-406.0,500.0,-99.0,0.182,11.28,2.05
4.039,-1528.0,-1488.0,23716.0,-24.0,-32.0,-409.0,0.184,11.28,2.07
4.147,-604.0,-1648.0,23536.0,-133.0,132.0,-419.0,0.125,11.2,1.39
4.255,2444.0,-916.0,20368.0,29.0,315.0,68.0,0.082,11.08,0.9
4.363,368.0,-1944.0,21172.0,-345.0,22.0,-350.0,0.12,11.16,1.35
4.471,392.0,700.0,20404.0,-325.0,-371.0,126.0,0.196,11.3,2.22
4.578,900.0,276.0,22464.0,-472.0,463.0,-167.0,0.162,11.24,1.81
4.687,3236.0,328.0,19516.0,-252.0,440.0,-43.0,0.083,11.12,0.92
4.795,1592.0,-888.0,20852.0,-206.0,360.0,46.0,0.099,11.12,1.1
4.903,608.0,-1568.0,21112.0,-272.0,148.0,-37.0,0.157,11.24,1.77
5.01,3204.0,652.0,19900.0,-89.0,200.0,397.0,0.201,11.3,2.27
5.12,2240.0,1108.0,19184.0,-277.0,145.0,-199.0,0.123,11.2,1.37
5.228,1940.0,-1588.0,20296.0,-239.0,518.0,-79.0,0.081,11.06,0.89
5.335,864.0,-2876.0,21336.0,158.0,118.0,-307.0,0.112,11.12,1.26
5.444,-72.0,-1632.0,20708.0,-330.0,-586.0,-68.0,0.196,11.29,2.21
5.552,936.0,-412.0,20456.0,-286.0,118.0,111.0,0.173,11.26,1.95
5.66,272.0,492.0,21908.0,-170.0,-259.0,111.0,0.086,11.14,1.13
5.768,1660.0,200.0,20184.0,7.0,162.0,-25.0,0.081,11.11,0.89
5.876,1872.0,-1448.0,19648.0,205.0,291.0,107.0,0.132,11.17,1.48
5.984,2144.0,-1360.0,20644.0,-36.0,509.0,12.0,0.212,11.29,2.39
6.092,764.0,608.0,21224.0,-348.0,-128.0,104.0,0.151,11.22,1.69
6.2,1504.0,1140.0,21340.0,-691.0,103.0,-111.0,0.08,11.09,0.88
6.308,-852.0,-816.0,22416.0,-256.0,-242.0,-242.0,0.109,11.14,1.22
6.417,300.0,328.0,21632.0,-218.0,-740.0,-259.0,0.174,11.27,1.97
6.524,2780.0,-156.0,19940.0,-132.0,623.0,-75.0,0.187,11.29,2.11
6.632,-2520.0,764.0,25720.0,-492.0,177.0,-642.0,0.11,11.18,1.23
6.74,5480.0,-440.0,15908.0,-167.0,1030.0,501.0,0.079,11.08,0.87
6.848,-1328.0,-1424.0,23112.0,-319.0,-22.0,-211.0,0.128,11.16,1.27
6.956,740.0,-1048.0,20508.0,-349.0,167.0,186.0,0.194,11.29,2.19
7.064,248.0,-424.0,21756.0,-205.0,-37.0,-206.0,0.181,11.26,2.03
7.173,-1204.0,848.0,23380.0,-698.0,-57.0,-690.0,0.085,11.14,0.95
7.28,2556.0,-116.0,18664.0,-79.0,581.0,247.0,0.087,11.1,0.96
7.388,2020.0,36.0,19672.0,-82.0,437.0,353.0,0.129,11.18,1.45
7.497,-3648.0,948.0,25704.0,-504.0,-703.0,-487.0,0.204,11.3,2.3
7.604,1000.0,-1872.0,22288.0,-567.0,-117.0,109.0,0.158,11.22,1.77
