time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.005,1904.0,-1176.0,19812.0,-370.0,17.0,-193.0,0.199,6.78,1.34
0.009,316.0,-4.0,22476.0,-596.0,-66.0,-173.0,0.157,6.65,1.03
0.018,-428.0,-2112.0,20268.0,-243.0,-315.0,-205.0,0.142,6.57,0.93
0.021,-2040.0,-880.0,20860.0,-100.0,16.0,-116.0,0.183,6.67,1.23
0.023,-2424.0,-948.0,23408.0,194.0,-205.0,-81.0,0.21,6.8,1.43
0.026,952.0,-1308.0,19656.0,96.0,228.0,-67.0,0.204,6.76,1.38
0.028,1116.0,-144.0,20232.0,-370.0,259.0,91.0,0.149,6.6,1.05
0.029,-156.0,-976.0,22000.0,-562.0,263.0,-100.0,0.149,6.53,0.97
0.031,-916.0,-820.0,22180.0,-533.0,60.0,-136.0,0.184,6.66,1.24
0.032,2856.0,4752.0,17680.0,-1155.0,252.0,-529.0,0.214,6.79,1.45
0.034,1608.0,-1516.0,20396.0,-244.0,85.0,-15.0,0.188,6.72,1.26
0.038,1316.0,68.0,21596.0,-673.0,139.0,-234.0,0.145,6.62,0.95
0.043,-240.0,-628.0,21100.0,-495.0,99.0,-63.0,0.146,6.53,0.96
0.046,728.0,-1128.0,21024.0,-198.0,405.0,-78.0,0.196,6.68,1.32
0.048,-3632.0,-1224.0,21848.0,-77.0,-906.0,-566.0,0.21,6.79,1.43
0.049,424.0,-580.0,21728.0,-421.0,353.0,-194.0,0.19,6.73,1.27
0.05,1572.0,500.0,21728.0,-96.0,651.0,32.0,0.141,6.58,0.96
0.052,1604.0,832.0,23396.0,-384.0,446.0,-34.0,0.151,6.54,0.99
0.053,2376.0,-160.0,21136.0,-532.0,-509.0,-225.0,0.19,6.68,1.27
0.108,-4060.0,-3472.0,18484.0,-220.0,-2349.0,-967.0,0.218,6.77,1.47
0.215,1140.0,452.0,21156.0,-415.0,298.0,43.0,0.186,6.7,1.24
0.324,1124.0,136.0,20928.0,-191.0,477.0,-36.0,0.152,6.52,0.99
0.431,-148.0,-1240.0,22464.0,-343.0,263.0,178.0,0.145,6.54,0.95
0.539,5432.0,-876.0,19084.0,-59.0,195.0,-179.0,0.197,6.69,1.33
0.648,-5448.0,1232.0,23368.0,-551.0,-1203.0,-712.0,0.213,6.76,1.44
0.756,1184.0,-120.0,22600.0,-400.0,302.0,-179.0,0.195,6.7,1.29
0.864,1160.0,-1344.0,19868.0,-304.0,-52.0,142.0,0.155,6.51,1.01
0.972,936.0,-64.0,21260.0,-296.0,82.0,-106.0,0.15,6.53,0.98
