window_start,h5_score,tflite_score,score_diff,h5_label,tflite_label
0,1.6968463e-06,1.6772501e-06,1.959619999999997e-08,0,0
25,5.273371e-08,5.3903076e-08,1.1693659999999996e-09,0,0
50,2.8051197e-08,2.8189524e-08,1.3832699999999933e-10,0,0
75,2.0582886e-06,2.0899759e-06,3.1687300000000146e-08,0,0
100,1.1119753e-05,1.10440615e-05,7.569150000000005e-08,0,0
125,5.666778e-07,5.7857966e-07,1.1901860000000018e-08,0,0
150,3.947355e-06,3.9477727e-06,4.177000000002857e-10,0,0
175,8.403472e-06,8.451887e-06,4.841500000000045e-08,0,0
200,5.8200635e-07,5.949838e-07,1.2977450000000068e-08,0,0
225,3.293057e-07,3.2906868e-07,2.370199999999972e-10,0,0
250,5.257343e-07,5.371136e-07,1.1379299999999989e-08,0,0
275,1.0415541e-06,1.033424e-06,8.130100000000105e-09,0,0
300,1.9063067e-05,1.93829e-05,3.1983300000000016e-07,0,0
325,1.4915535e-05,1.4762207e-05,1.5332800000000064e-07,0,0
350,7.965808e-07,8.0586386e-07,9.283059999999918e-09,0,0
375,2.4482597e-06,2.493856e-06,4.559630000000017e-08,0,0
400,5.7418606e-07,5.732936e-07,8.924600000000331e-10,0,0
425,4.545558e-08,4.5257988e-08,1.9759200000000181e-10,0,0
450,2.0456919e-06,2.0692514e-06,2.3559500000000126e-08,0,0
475,1.414491e-05,1.3993579e-05,1.5133099999999952e-07,0,0
500,1.7940395e-06,1.8362581e-06,4.2218599999999915e-08,0,0
525,3.1120763e-07,3.0393937e-07,7.268260000000026e-09,0,0
550,1.4377346e-07,1.4759466e-07,3.8212000000000025e-09,0,0
575,1.8879227e-07,1.9013966e-07,1.347390000000004e-09,0,0
600,1.6805183e-07,1.6793888e-07,1.129499999999997e-10,0,0
625,1.8314314e-07,1.8386942e-07,7.262800000000125e-10,0,0
650,6.332332e-07,6.3124406e-07,1.989139999999931e-09,0,0
675,9.535602e-06,9.609153e-06,7.355099999999973e-08,0,0
700,5.3049953e-06,5.2657056e-06,3.9289700000000106e-08,0,0
725,9.736915e-06,9.893464e-06,1.5654899999999998e-07,0,0
750,9.361518e-06,9.376278e-06,1.4760000000000855e-08,0,0
775,4.3991654e-06,4.186848e-06,2.1231740000000008e-07,0,0
800,1.7181619e-06,1.7239804e-06,5.8184999999999935e-09,0,0
825,1.4914333e-06,1.517508e-06,2.6074700000000183e-08,0,0
850,5.4931627e-07,5.6067006e-07,1.135378999999999e-08,0,0
875,2.6643079e-06,2.6712535e-06,6.945600000000125e-09,0,0
900,4.4553917e-06,4.4880962e-06,3.270450000000036e-08,0,0
925,8.102232e-07,7.982988e-07,1.1924399999999937e-08,0,0
950,7.78702e-07,7.629461e-07,1.5755900000000033e-08,0,0
975,3.8090735e-07,3.7654866e-07,4.358690000000033e-09,0,0
1000,2.3087807e-07,2.2651528e-07,4.362790000000003e-09,0,0
1025,8.6940264e-07,8.525356e-07,1.686704000000008e-08,0,0
1050,1.1933249e-05,1.1996782e-05,6.35330000000006e-08,0,0
1075,2.904195e-06,2.964648e-06,6.045299999999986e-08,0,0
1100,2.6175892e-06,2.6874866e-06,6.989740000000027e-08,0,0
1125,2.0237321e-06,2.0474115e-06,2.3679399999999687e-08,0,0
1150,4.6400228e-07,4.7367627e-07,9.673990000000028e-09,0,0
1175,4.3531443e-07,4.3435443e-07,9.599999999999768e-10,0,0
1200,4.5277585e-07,4.5359138e-07,8.155300000000145e-10,0,0
1225,3.3291556e-07,3.3732556e-07,4.410000000000024e-09,0,0
1250,5.695885e-08,5.5676768e-08,1.2820819999999975e-09,0,0
1275,1.6577368e-07,1.6312876e-07,2.6449199999999826e-09,0,0
1300,1.5813802e-07,1.5909023e-07,9.522099999999884e-10,0,0
1325,3.963024e-07,4.040995e-07,7.797100000000019e-09,0,0
1350,8.8471813e-07,8.8753393e-07,2.8158000000000324e-09,0,0
1375,6.6772486e-07,6.630975e-07,4.6273599999999616e-09,0,0
