window_start,anomaly_score,pred_label
0,1.6772501e-06,0
25,5.3903076e-08,0
50,2.8189524e-08,0
75,2.0899759e-06,0
100,1.10440615e-05,0
125,5.7857966e-07,0
150,3.9477727e-06,0
175,8.451887e-06,0
200,5.949838e-07,0
225,3.2906868e-07,0
250,5.371136e-07,0
275,1.033424e-06,0
300,1.93829e-05,0
325,1.4762207e-05,0
350,8.0586386e-07,0
375,2.493856e-06,0
400,5.732936e-07,0
425,4.5257988e-08,0
450,2.0692514e-06,0
475,1.3993579e-05,0
500,1.8362581e-06,0
525,3.0393937e-07,0
550,1.4759466e-07,0
575,1.9013966e-07,0
600,1.6793888e-07,0
625,1.8386942e-07,0
650,6.3124406e-07,0
675,9.609153e-06,0
700,5.2657056e-06,0
725,9.893464e-06,0
750,9.376278e-06,0
775,4.186848e-06,0
800,1.7239804e-06,0
825,1.517508e-06,0
850,5.6067006e-07,0
875,2.6712535e-06,0
900,4.4880962e-06,0
925,7.982988e-07,0
950,7.629461e-07,0
975,3.7654866e-07,0
1000,2.2651528e-07,0
1025,8.525356e-07,0
1050,1.1996782e-05,0
1075,2.964648e-06,0
1100,2.6874866e-06,0
1125,2.0474115e-06,0
1150,4.7367627e-07,0
1175,4.3435443e-07,0
1200,4.5359138e-07,0
1225,3.3732556e-07,0
1250,5.5676768e-08,0
1275,1.6312876e-07,0
1300,1.5909023e-07,0
1325,4.040995e-07,0
1350,8.8753393e-07,0
1375,6.630975e-07,0
1400,1.2782909e-06,0
1425,4.114747e-07,0
1450,6.298045e-07,0
1475,4.4539897e-06,0
1500,4.0520076e-06,0
1525,4.6655592e-07,0
1550,6.393473e-08,0
1575,3.8554148e-07,0
1600,8.072299e-07,0
1625,2.6125913e-06,0
1650,1.1707101e-06,0
1675,5.82355e-07,0
1700,1.089759e-05,0
1725,1.1094861e-05,0
1750,1.1800114e-06,0
1775,1.5402959e-06,0
1800,2.69668e-06,0
1825,8.112229e-06,0
1850,2.3576026e-06,0
1875,7.259735e-07,0
1900,5.404465e-06,0
1925,2.1944597e-06,0
1950,6.147506e-07,0
1975,1.0918975e-06,0
2000,1.4621473e-06,0
2025,3.5076116e-07,0
2050,1.5347475e-06,0
2075,1.4775566e-06,0
2100,9.422446e-07,0
2125,4.9012476e-07,0
2150,6.313783e-07,0
2175,2.2149236e-06,0
2200,3.6770705e-06,0
2225,6.244994e-07,0
2250,3.9572865e-06,0
2275,1.0172492e-05,0
2300,5.173308e-06,0
2325,4.1787314e-07,0
2350,5.4342263e-07,0
2375,7.27431e-07,0
2400,8.285161e-07,0
2425,2.6442399e-06,0
2450,1.4740366e-06,0
2475,5.2710716e-06,0
2500,2.3579018e-06,0
2525,2.645647e-07,0
2550,5.722957e-08,0
2575,2.8051037e-08,0
2600,2.3123314e-06,0
2625,2.6002276e-06,0
2650,3.5894325e-07,0
2675,1.7602677e-06,0
2700,1.7658127e-06,0
2725,5.375218e-06,0
